Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
22,Ti,L3,50,150,10,1.147693,2.270e-04,0.000e+00,0.000e+00
22,Ti,L3,50,150,30,1.108998,2.875e-04,0.000e+00,0.000e+00
22,Ti,L3,50,150,100,1.077616,3.438e-04,0.000e+00,0.000e+00
23,V,K,0,100,10,1.124766,2.455e-05,0.000e+00,1.242e-04
23,V,K,0,100,30,1.103165,2.919e-05,0.000e+00,1.232e-04
23,V,K,0,100,100,1.057285,6.135e-05,0.000e+00,1.220e-04
23,V,K,0,200,10,1.125361,3.591e-05,0.000e+00,2.849e-05
23,V,K,0,200,30,1.103958,3.973e-05,0.000e+00,2.809e-05
23,V,K,0,200,100,1.058105,6.990e-05,0.000e+00,2.758e-05
23,V,K,0,50,10,1.124970,1.605e-05,0.000e+00,1.218e-04
23,V,K,0,50,30,1.103267,2.122e-05,0.000e+00,1.213e-04
23,V,K,0,50,100,1.057364,5.416e-05,0.000e+00,1.207e-04
23,V,K,50,150,10,1.125207,3.703e-05,0.000e+00,0.000e+00
23,V,K,50,150,30,1.103808,4.060e-05,0.000e+00,0.000e+00
23,V,K,50,150,100,1.057946,7.098e-05,0.000e+00,0.000e+00
23,V,L1,0,100,10,1.094177,4.384e-05,0.000e+00,1.476e-04
23,V,L1,0,100,30,1.055079,8.818e-05,0.000e+00,1.443e-04
23,V,L1,0,100,100,1.017268,3.004e-04,0.000e+00,1.399e-04
23,V,L1,0,200,10,1.091886,9.132e-05,0.000e+00,3.935e-05
23,V,L1,0,200,30,1.053949,1.230e-04,0.000e+00,3.819e-05
23,V,L1,0,200,100,1.015714,3.676e-04,0.000e+00,3.621e-05
23,V,L1,0,50,10,1.097234,1.533e-05,0.000e+00,1.327e-04
23,V,L1,0,50,30,1.061078,7.259e-05,0.000e+00,1.295e-04
23,V,L1,0,50,100,1.026436,2.714e-04,0.000e+00,1.264e-04
23,V,L1,50,150,10,1.089213,1.055e-04,0.000e+00,0.000e+00
23,V,L1,50,150,30,1.046203,1.280e-04,0.000e+00,0.000e+00
23,V,L1,50,150,100,1.003216,3.737e-04,0.000e+00,0.000e+00
